CODE REGION,REGION,DEPARTEMENTS,COMMUNES,ARRONDISSEMENTS,C0MMUNES d’ARRDT,COMM. RURALES
SN-KA,KAFFRINE,KOUNGHEUL,Koungheul,MISSIRAH WADENE,,Missirah Wadène
SN-KA,KAFFRINE,KOUNGHEUL,Koungheul,MISSIRAH WADENE,,Maka Yop
SN-KA,KAFFRINE,KOUNGHEUL,Koungheul,MISSIRAH WADENE,,Ngainthe Pathé
SN-KA,KAFFRINE,KOUNGHEUL,Koungheul,IDA MOURIDE,,Fass Thièkène
SN-KA,KAFFRINE,KOUNGHEUL,Koungheul,IDA MOURIDE,,Saly Escale
SN-KA,KAFFRINE,KOUNGHEUL,Koungheul,IDA MOURIDE,,Ida Mouride
SN-KA,KAFFRINE,KOUNGHEUL,Koungheul,LOUR ESCALE,,Ribot Escale
SN-KA,KAFFRINE,KOUNGHEUL,Koungheul,LOUR ESCALE,,Lour Escale
SN-KA,KAFFRINE,MALEM HODDAR,Malem Hoddar,DAROU MINAME 2,,Darou Miname 2
SN-KA,KAFFRINE,MALEM HODDAR,Malem Hoddar,DAROU MINAME 2,,Khelcom
SN-KA,KAFFRINE,MALEM HODDAR,Malem Hoddar,DAROU MINAME 2,,Ndioum Ngainth
SN-KA,KAFFRINE,MALEM HODDAR,Malem Hoddar,SAGNA,,Sagna
SN-KA,KAFFRINE,MALEM HODDAR,Malem Hoddar,SAGNA,,Dianké Souf
SN-KL,KAOLACK,MBADAKHOUNE,Guinguinéo,GUINGUINEO,,Khelcom - Birane 
SN-KL,KAOLACK,MBADAKHOUNE,Guinguinéo,GUINGUINEO,,Mbadakhoune 
SN-KL,KAOLACK,MBADAKHOUNE,Guinguinéo,GUINGUINEO,,Ndiago 
SN-KL,KAOLACK,MBADAKHOUNE,Guinguinéo,GUINGUINEO,,Ngathie Naoudé
SN-KL,KAOLACK,MBADAKHOUNE,Guinguinéo,NGUELOU,,Gagnick 
SN-KL,KAOLACK,MBADAKHOUNE,Guinguinéo,NGUELOU,,Mboss 
SN-KL,KAOLACK,MBADAKHOUNE,Guinguinéo,NGUELOU,,Ourour
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,KOUMBAL,,Keur Baka
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,KOUMBAL,,Latmingué
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,KOUMBAL,,Thiaré
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,NDIEDIENG,,Keur Socé
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,NDIEDIENG,,Ndiaffate
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,NDIEDIENG,,Ndiedieng
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,SIBASSOR,,Dya
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,SIBASSOR,,Ndiébel
SN-KL,KAOLACK,KAOLACK,Kaolack Kahone Ndoffane Gandiaye,SIBASSOR,,Thiomby
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,MEDINA SABAKH,,Kayemor
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,MEDINA SABAKH,,Médina Sabakh
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,MEDINA SABAKH,,Ngayene
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,PAOS KOTO,,Gainthe Kaye
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,PAOS KOTO,,Paos Koto
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,PAOS KOTO,,Porokhane
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,PAOS KOTO,,Taïba Niassène
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,WACK NGOUNA,,Keur Maba Diakhou
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,WACK NGOUNA,,Keur Madongo
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,WACK NGOUNA,,Ndramé Escale
SN-KL,KAOLACK,NIORO,Nioro Keur Madiabel,WACK NGOUNA,,Wack Ngouna
SN-KE,KEDOUGOU,KEDOUGOU,Kédougou,BANDAFASSI,,Tomboroncoto
SN-KE,KEDOUGOU,KEDOUGOU,Kédougou,BANDAFASSI,,Dindefelo Ninéfécha
SN-KE,KEDOUGOU,KEDOUGOU,Kédougou,BANDAFASSI,,Bandafassi
SN-KE,KEDOUGOU,KEDOUGOU,Kédougou,FONGOLIMBI,,Fongolimbi
SN-KE,KEDOUGOU,KEDOUGOU,Kédougou,FONGOLIMBI,,Dimboli
SN-KE,KEDOUGOU,SALEMATA,Salémata,DAKATELI,,Thiankoye
SN-KE,KEDOUGOU,SALEMATA,Salémata,DAKATELI,,Dakatéli
SN-KE,KEDOUGOU,SALEMATA,Salémata,DAR SALAM,,Ethiolo
SN-KE,KEDOUGOU,SALEMATA,Salémata,DAR SALAM,,Oubadj
SN-KE,KEDOUGOU,SALEMATA,Salémata,DAR SALAM,,Dar Salam
SN-KE,KEDOUGOU,SARAYA,Saraya,BEMBOU,,Bembou
SN-KE,KEDOUGOU,SARAYA,Saraya,BEMBOU,,Médina Baffé
SN-KE,KEDOUGOU,SARAYA,Saraya,SABODALA,,Sabodala
SN-KE,KEDOUGOU,SARAYA,Saraya,SABODALA,,Khossanto
SN-KE,KEDOUGOU,SARAYA,Saraya,SABODALA,,Missirah Sirimana
SN-KD,KOLDA,KOLDA,Kolda Dabo Salikégné Saré YobaDiéga ,MAMPATIM,,Dialambéré Médina Chérif Bagadadji Mampatim Coumbacara
SN-KD,KOLDA,KOLDA,Kolda Dabo Salikégné Saré YobaDiéga ,SARE BIDJI,,Thiétty
SN-KD,KOLDA,KOLDA,Kolda Dabo Salikégné Saré YobaDiéga ,SARE BIDJI,,Saré Bidji
SN-KD,KOLDA,KOLDA,Kolda Dabo Salikégné Saré YobaDiéga ,DIOULACOLON,,Guiro Yéro Bocar
SN-KD,KOLDA,KOLDA,Kolda Dabo Salikégné Saré YobaDiéga ,DIOULACOLON,,Dioulacolon
SN-KD,KOLDA,KOLDA,Kolda Dabo Salikégné Saré YobaDiéga ,DIOULACOLON,,Tankanto Escale
SN-KD,KOLDA,KOLDA,Kolda Dabo Salikégné Saré YobaDiéga ,DIOULACOLON,,Médina El Hadj
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,FAFACOUROU Badion Fafacourou,,
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,NDORNA,,Bourouco
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,NDORNA,,Bignarabé
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,NDORNA,,Ndorna
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,NDORNA,,Koulinto
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,NIAMING,,Niaming
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,NIAMING,,Dinguiraye
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,NIAMING,,Kéréwane
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,SARE COLY SALLE,,Kandiaye
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,SARE COLY SALLE,,Saré Coly Sallé
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,SARE COLY SALLE,,Kandia
SN-KD,KOLDA,MEDINA YORO FOULAH,Médina Yoro Foulah Pata,SARE COLY SALLE,,Némataba
SN-KD,KOLDA,VELINGARA,Vélingara Kounkané Diaobé-Kabendou,PAKOUR,,Pakour
SN-KD,KOLDA,VELINGARA,Vélingara Kounkané Diaobé-Kabendou,PAKOUR,,Paroumba
SN-KD,KOLDA,VELINGARA,Vélingara Kounkané Diaobé-Kabendou,PAKOUR,,Ouassadou
SN-KD,KOLDA,VELINGARA,Vélingara Kounkané Diaobé-Kabendou,BONCONTO,,Bonconto
SN-KD,KOLDA,VELINGARA,Vélingara Kounkané Diaobé-Kabendou,BONCONTO,,Linkering
SN-KD,KOLDA,VELINGARA,Vélingara Kounkané Diaobé-Kabendou,BONCONTO,,Médina Gounass
